Gender,Class year,What type of financial aid do you receive from Brown?,Are you currently on a varsity sports team?,How would you describe your sexual orientation?,Race/ethnicity (check all that apply),Concentration area(s):,"Are you a legacy student (i.e. you have a parent, grandparent or sibling who attended Brown)?",Do you identify as a first-generation college student?,Were you a domestic or international applicant when you applied to Brown?,"Are you involved with a Greek life organization? (sorority of fraternity, NOT program housing) ",Do you live on or off campus?,1. Do you approve or disapprove of the way Christina Paxson is handling her job as the president of the University?,2. Do you approve or disapprove of the way the Undergraduate Council of Students is handling its job?,"3. In classes you have taken at the University, how effective or ineffective were teaching assistants in facilitating your understanding of course materials?","4. If the 2020 U.S. Presidential Election were held today, which candidate would you vote for?","5. In the past year at Brown, which types of parties have you attended? (Select all that apply)",6. What is your preferred method of notetaking in class?,"7. During a typical class, about how long do you pay full attention to the lecture?","8. How often do you meet with an academic advisor? (e.g. department advisor, Meiklejohn peer advisor, first-year advisor, sophomore advisor, etc.)",9. Do you approve or disapprove of the UniversityÕs requirement that all undergraduates live in on-campus housing for their first six semesters (with the exception of the off campus permission lottery for juniors)?,10. Which of the following dating apps have you used? (Select all that apply),"11. How often do you use barrier methods (e.g., condoms, dental dams)  to protect against Sexually Transmitted Infections (STIs) during oral and/or penetrative sexual intercourse?","12. How often do you use barrier methods (e.g. condoms, dental dams) and/or contraceptives (e.g. birth control pills, IUDs)  to prevent pregnancy during vaginal sexual intercourse?"
Female,First-year,"Grants, covering all costs",No,Heterosexual,Asian,Physical sciences (incl. math and CS),No,Yes,Domestic,No,On campus,No opinion,No opinion,Extremely effective,I am unsure,I do not attend parties,Handwriting on paper,The entire class,Once per semester,Somewhat disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,First-year,None,No,Other,"White, Asian","Humanities/arts, Physical sciences (incl. math and CS)",No,No,Domestic,No,On campus,Strongly disapprove,No opinion,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs",Typing on a computer,Half of the class,Once per semester,Strongly disapprove,"Bumble, Tinder",I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,First-year,None,No,Heterosexual,Asian,"Business (BEO or econ), Social sciences (not incl. BEO or econ)",No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat effective,Donald Trump,I do not attend parties,I do not usually take notes,Less than half of the class,Never,Strongly disapprove,Tinder,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,First-year,"Grants, covering some costs",No,Heterosexual,Asian,Physical sciences (incl. math and CS),No,No,Domestic,No,On campus,Somewhat disapprove,Strongly approve,Somewhat effective,Bernie Sanders,"Student organization event, Small Victories (SV) event, Providence/downtown bars or clubs",Handwriting on a tablet (e.g. iPad with stylus),More than half of the class,A few times per semester,Somewhat disapprove,I do not use dating apps,Always,Always
Female,Sophomore,None,Yes,Heterosexual,Asian,Life sciences,No,No,Domestic,No,On campus,Strongly approve,Strongly approve,Somewhat effective,Joe Biden,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Dormitory party, Varsity sports house, Whiskey Republic",Handwriting on paper,More than half of the class,A few times per semester,Strongly disapprove,Tinder,Always,Always
Female,First-year,None,No,Heterosexual,Asian,Physical sciences (incl. math and CS),No,No,International,No,On campus,Somewhat disapprove,Somewhat approve,Extremely effective,Bernie Sanders,I do not attend parties,Handwriting on paper,The entire class,A few times per semester,Somewhat disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,First-year,"Grants, covering some costs",No,Bisexual,Black,Social sciences (not incl. BEO or econ),No,No,International,No,On campus,Somewhat disapprove,No opinion,Somewhat effective,I am ineligible to vote,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house",Typing on a computer,The entire class,A few times per semester,Somewhat approve,Tinder,Always,Always
Male,First-year,None,No,Heterosexual,White,"Humanities/arts, Physical sciences (incl. math and CS)",No,No,Domestic,No,On campus,Somewhat disapprove,No opinion,Extremely effective,Bernie Sanders,Off-campus house party,Handwriting on paper,The entire class,A few times per semester,Somewhat disapprove,I do not use dating apps,Always,Always
Female,First-year,None,No,Bisexual,"White, Hispanic",Humanities/arts,No,No,Domestic,No,On campus,Somewhat disapprove,Somewhat approve,Somewhat ineffective,Bernie Sanders,"Student organization event, Dormitory party, Off-campus house party",Handwriting on paper,More than half of the class,Once per semester,Somewhat disapprove,Tinder,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Sophomore,None,No,Heterosexual,"White, Other",Social sciences (not incl. BEO or econ),No,No,Domestic,Yes,On campus,Somewhat approve,No opinion,Somewhat effective,I am unsure,"University-recognized Greek Life, Dormitory party, Off-campus house party, Varsity sports house",Handwriting on paper,More than half of the class,Once per semester,Somewhat approve,I do not use dating apps,Never,Always
Female,Junior,"Grants, covering some costs",No,Bisexual,Asian,Social sciences (not incl. BEO or econ),No,Yes,Domestic,No,On campus,Strongly disapprove,Somewhat disapprove,Somewhat effective,Bernie Sanders,"Dormitory party, Off-campus house party",Typing on a computer,Half of the class,Once per semester,Somewhat disapprove,"Bumble, Tinder",I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,Sophomore,"Grants, covering some costs",No,Bisexual,Asian,Social sciences (not incl. BEO or econ),Yes,No,Domestic,No,On campus,Somewhat disapprove,Somewhat approve,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Dormitory party, Off-campus house party",Handwriting on paper,More than half of the class,Never,Strongly approve,Tinder,Never,Always
Male,First-year,"Grants, covering some costs",No,Heterosexual,"White, Native Hawaiian/Pacific Islander",Life sciences,No,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Extremely effective,Joe Biden,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Whiskey Republic",Handwriting on paper,The entire class,A few times per semester,Somewhat approve,Tinder,Always,Always
Male,Junior,None,No,Heterosexual,Asian,"Physical sciences (incl. math and CS), Business (BEO or econ)",No,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat ineffective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Dormitory party, Off-campus house party, Varsity sports house",Handwriting on paper,More than half of the class,Once per year,Somewhat approve,"Bumble, Tinder",Always,Always
Male,First-year,None,No,Heterosexual,Asian,Life sciences,Yes,No,Domestic,No,On campus,No opinion,No opinion,Extremely effective,Joe Biden,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs",Handwriting on a tablet (e.g. iPad with stylus),The entire class,Once per semester,Somewhat approve,Tinder,Always,Always
Male,First-year,None,No,Heterosexual,Asian,Physical sciences (incl. math and CS),No,No,International,Yes,On campus,Somewhat disapprove,Somewhat approve,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Varsity sports house, Providence/downtown bars or clubs",Handwriting on paper,Half of the class,A few times per semester,Somewhat disapprove,"Bumble, Tinder",I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,First-year,"Grants, covering some costs",No,Heterosexual,Asian,Life sciences,No,No,Domestic,No,On campus,Somewhat disapprove,Strongly approve,Somewhat effective,I am ineligible to vote,Student organization event,Typing on a computer,More than half of the class,A few times per semester,Somewhat disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Sophomore,"Grants, covering some costs",No,Heterosexual,White,Life sciences,No,No,Domestic,No,Off campus,Somewhat disapprove,Somewhat disapprove,Extremely effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Whiskey Republic",Handwriting on a tablet (e.g. iPad with stylus),Less than half of the class,Never,Somewhat disapprove,I do not use dating apps,Most of the time,Always
Male,Sophomore,None,No,Heterosexual,Hispanic,"Humanities/arts, Business (BEO or econ)",No,No,Domestic,No,On campus,Somewhat disapprove,No opinion,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs",Typing on a computer,Half of the class,Once per semester,Strongly disapprove,"Bumble, Tinder",Rarely,Always
Female,Sophomore,"Grants, covering some costs",No,Heterosexual,Asian,"Humanities/arts, Business (BEO or econ)",No,Yes,Domestic,Yes,On campus,Somewhat disapprove,Strongly approve,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Student organization event, Dormitory party, Off-campus house party, Varsity sports house",Handwriting on a tablet (e.g. iPad with stylus),More than half of the class,A few times per semester,Somewhat disapprove,"Hinge, Tinder",I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,First-year,"Grants, covering some costs",No,Heterosexual,Asian,"Humanities/arts, Business (BEO or econ)",No,Yes,Domestic,No,On campus,Somewhat disapprove,Somewhat disapprove,Extremely effective,I am unsure,"Off-campus/unrecognized Greek Life, Student organization event, Dormitory party, Off-campus house party",Handwriting on a tablet (e.g. iPad with stylus),More than half of the class,A few times per semester,Somewhat approve,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Junior,None,No,Heterosexual,White,Life sciences,No,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat effective,Bernie Sanders,"Student organization event, Dormitory party, Off-campus house party, Providence/downtown bars or clubs, Graduate Center Bar",Handwriting on paper,The entire class,A few times per semester,Somewhat disapprove,"Bumble, Tinder",Never,Always
Other,First-year,"Grants, covering some costs",No,Gay,White,Life sciences,No,No,Domestic,Yes,On campus,Somewhat disapprove,No opinion,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Dormitory party, Off-campus house party",Typing on a computer,More than half of the class,A few times per semester,Somewhat disapprove,"Bumble, Tinder",Rarely,Never
Female,First-year,None,No,Gay,White,Humanities/arts,No,No,Domestic,Yes,On campus,No opinion,No opinion,Extremely effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Off-campus house party",Typing on a computer,More than half of the class,Once per semester,Somewhat disapprove,Tinder,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,First-year,None,No,Heterosexual,Asian,"Humanities/arts, Social sciences (not incl. BEO or econ)",No,No,International,No,On campus,Somewhat disapprove,Somewhat approve,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Whiskey Republic",I do not have a preference,More than half of the class,Once per semester,Somewhat approve,"Bumble, Tinder",I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Sophomore,"Grants, covering all costs",Yes,Gay,"White, Black",Humanities/arts,No,Yes,Domestic,No,On campus,Somewhat disapprove,Somewhat approve,Somewhat ineffective,Bernie Sanders,"Off-campus/unrecognized Greek Life, Student organization event, Dormitory party, Off-campus house party, Varsity sports house, Other",I do not have a preference,Half of the class,Once per year,Strongly disapprove,Tinder,Most of the time,Most of the time
Female,Junior,None,Yes,Heterosexual,"White, Asian",Life sciences,No,No,International,No,Off campus,Somewhat disapprove,Somewhat approve,Somewhat effective,I am ineligible to vote,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house",Handwriting on paper,The entire class,A few times per semester,Somewhat disapprove,Tinder,Rarely,Rarely
Female,Sophomore,None,No,Heterosexual,"White, Asian",Physical sciences (incl. math and CS),No,No,Domestic,No,On campus,No opinion,No opinion,Extremely effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Dormitory party, Off-campus house party",Handwriting on paper,More than half of the class,Once per year,Somewhat disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
